query,expected_answer
"Wie viel Koffein hat eine Tasse Filterkaffee im Vergleich zu einem Espresso?","Eine Tasse Filterkaffee (ca. 240 ml) enthaelt im Durchschnitt rund 95 mg Koffein, ein einzelner Espresso (ca. 30 ml) etwa 63 mg."
"Bei welcher Temperatur sollte Kaffee aufgebrueht werden?","Etwa 92 bis 96 Grad Celsius; kochendes Wasser kann zu unerwuenschten Bitterstoffen fuehren."
"Welches Land ist der groesste Kaffeeproduzent?","Brasilien, das etwa ein Drittel der weltweiten Kaffeemenge erzeugt."
"Woher stammt der Kaffee urspruenglich?","Aus Aethiopien, aus der Region Kaffa, von der sich vermutlich der Name ableitet."
"Wie unterscheiden sich Arabica und Robusta im Koffeingehalt?","Arabica enthaelt etwa 1,2 Prozent Koffein, Robusta mit rund 2,2 Prozent fast doppelt so viel."
"Wie wirkt Koffein im Koerper?","Es blockiert im Gehirn die Andockstellen des muede machenden Botenstoffs Adenosin."
"Wie viele Eier legt eine Bienenkoenigin pro Tag?","In der Hochsaison bis zu 2.000 Eier pro Tag, mehr als ihr eigenes Koerpergewicht."
"Wer entschluesselte den Schwaenzeltanz und wann gab es dafuer den Nobelpreis?","Der Verhaltensforscher Karl von Frisch; er erhielt dafuer 1973 den Nobelpreis."
"Wie oft schlagen die Fluegel einer Biene pro Sekunde?","Etwa 200- bis 230-mal pro Sekunde."
"Welche Temperatur halten Bienen rund um die Brut?","Eine konstante Temperatur von etwa 35 Grad Celsius."
"Woraus besteht reifer Honig ungefaehr?","Zu rund 80 Prozent aus Zucker, mit nur noch etwa 18 Prozent Wasser."
"Was ist die Varroamilbe?","Ein Parasit, der ganze Bienenvoelker schwaechen kann."
"Wer hat die Fussball-Weltmeisterschaft 2022 gewonnen?","Das steht nicht in der Wissensbasis."
"Wie funktioniert ein Verbrennungsmotor?","Das steht nicht in der Wissensbasis."
"Was ist die Hauptstadt von Australien?","Das steht nicht in der Wissensbasis."
